行,C NO.,ON,OFF,MA,IP,SV,UP,DN,JS,JM,S,OC,HP,PP,C,PL,V,AL,L,LD,底部余量,侧面余量,AJC,加工速度,定时,定时时间,粗糙度,材料,面积,形状,重视,Ra,切入
7,2,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.032,0.021,24,0,T,,0.7,1,6,1,1,0.5,0
8,801,1,9,0,10,95,7,9,25,00,63,0,40,0,1,-,22,30,3,5,0.009,0.025,24,7,Z,255,0.5,1,6,1,1,0.5,0
9,801,1,9,0,10,95,7,9,25,00,63,0,40,0,1,-,22,30,3,5,0.029,0.01,24,7,Z,220,0.5,1,6,1,1,0.5,0
1,8,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.215,0.5,24,0,T,,0,1,6,1,1,0.63,0
2,7,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.135,0.1026,24,0,T,,0,1,6,1,1,0.63,0
3,6,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.098,0.0669,24,0,T,,2.8,1,6,1,1,0.63,0
4,5,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.074,0.049,24,0,T,,2,1,6,1,1,0.63,0
5,4,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.056,0.037,24,0,T,,1.12,1,6,1,1,0.63,0
6,3,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.042,0.027,24,0,T,,0.8,1,6,1,1,0.63,0
7,2,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.032,0.021,24,0,T,,0.7,1,6,1,1,0.63,0
8,801,1,9,0,10,95,12,9,50,00,63,0,0,0,3,-,22,30,3,5,0.013,0.025,24,5,Z,205,0.63,1,6,1,1,0.63,0
9,801,1,9,0,10,95,12,9,50,00,63,0,0,0,3,-,22,30,3,5,0.033,0.01,24,5,Z,140,0.63,1,6,1,1,0.63,0
1,7,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.211,0.5,24,0,T,,0,1,6,1,1,0.8,0
2,6,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.131,0.0996,24,0,T,,0,1,6,1,1,0.8,0
3,5,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.094,0.0642,24,0,T,,2.8,1,6,1,1,0.8,0
4,4,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.07,0.0463,24,0,T,,2,1,6,1,1,0.8,0
5,3,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.052,0.0344,24,0,T,,1.12,1,6,1,1,0.8,0
6,2,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.038,0.0245,24,0,T,,0.8,1,6,1,1,0.8,0
7,1,5,10,0,5,95,12,5,50,00,63,0,0,0,0,+,22,15,2,2,0.024,0.018,24,0,T,,0.8,1,6,1,1,0.8,0
1,5,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.204,0.5,24,0,T,,0,1,6,1,1,1.12,0
2,4,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.124,0.0942,24,0,T,,0,1,6,1,1,1.12,0
3,3,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.087,0.0594,24,0,T,,2.8,1,6,1,1,1.12,0
4,2,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.063,0.0417,24,0,T,,2,1,6,1,1,1.12,0
5,1,12,12,0,10,80,12,5,50,00,63,0,40,0,0,+,22,15,2,2,0.038,0.023,24,0,T,,1.12,1,6,1,1,1.12,0
1,4,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.202,0.5,24,0,T,,0,1,6,1,1,1.26,0
2,3,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.122,0.0927,24,0,T,,0,1,6,1,1,1.26,0
3,2,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.085,0.0581,24,0,T,,2.8,1,6,1,1,1.26,0
4,1,25,30,0,13,80,15,5,75,00,63,0,40,0,0,+,21,15,2,2,0.053,0.033,24,0,T,,1.6,1,6,1,1,1.26,0
1,4,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.202,0.5,24,0,T,,0,1,6,1,1,2,0
2,3,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.122,0.0927,24,0,T,,0,1,6,1,1,2,0
3,2,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.085,0.0581,24,0,T,,2.8,1,6,1,1,2,0
4,1,35,20,0,13,80,15,5,75,00,63,0,40,0,0,+,11,15,2,2,0.053,0.033,24,0,T,,2,1,6,1,1,2,0
1,3,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.196,0.5,24,0,T,,0,1,6,1,1,2.8,0
2,2,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.116,0.0882,24,0,T,,0,1,6,1,1,2.8,0
3,1,60,30,0,23,80,12,5,75,03,52,0,0,1,0,+,21,15,2,2,0.067,0.041,24,0,T,,2.8,1,6,1,1,2.8,0
1,11,230,40,0,85,50,20,6,80,03,22,0,0,11,0,+,21,10,2,2,0.286,0.5,24,0,T,,0,1,8,1,1,0.07,0
2,10,140,40,0,53,60,20,6,80,03,32,0,40,0,0,+,21,15,2,2,0.16,0.1312,24,0,T,,0,1,8,1,1,0.07,0
3,9,70,25,0,33,60,20,6,80,03,42,0,40,0,0,+,21,15,2,2,0.117,0.0924,24,0,T,,0,1,8,1,1,0.07,0
4,8,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.101,0.069,24,0,T,,4,1,8,1,1,0.07,0
5,7,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.077,0.051,24,0,T,,2,1,8,1,1,0.07,0
6,6,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.059,0.039,24,0,T,,1.12,1,8,1,1,0.07,0
7,5,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.045,0.029,24,0,T,,0.8,1,8,1,1,0.07,0
8,4,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.035,0.023,24,0,T,,0.7,1,8,1,1,0.07,0
9,803,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,15,3,2,0.018,0.023,24,6.2,Z,503,0.63,1,8,1,1,0.07,0
10,803,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,30,3,2,0.026,0.012,24,6.2,Z,253,0.63,1,8,1,1,0.07,0
11,802,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.011,0.021,24,7,Z,543,0.14,1,8,1,1,0.07,0
12,802,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.019,0.008,24,7,Z,316,0.14,1,8,1,1,0.07,0
13,801,0,3,0,3,90,3,16,50,10,85,0,40,10,0,-,22,30,4,2,0.009,0.019,24,9,Z,721,0.07,1,8,1,1,0.07,0
14,801,0,3,0,3,90,3,16,50,10,85,0,40,10,0,-,22,30,4,2,0.017,0.006,24,9,Z,412,0.07,1,8,1,1,0.07,0
1,10,230,40,0,85,50,20,6,80,03,22,0,0,11,0,+,21,10,2,2,0.285,0.5,24,0,T,,0,1,8,1,1,0.14,0
2,9,140,40,0,53,60,20,6,80,03,32,0,40,0,0,+,21,15,2,2,0.159,0.1304,24,0,T,,0,1,8,1,1,0.14,0
3,8,70,25,0,33,60,20,6,80,03,42,0,40,0,0,+,21,15,2,2,0.116,0.0916,24,0,T,,0,1,8,1,1,0.14,0
4,7,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.1,0.0683,24,0,T,,4,1,8,1,1,0.14,0
5,6,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.076,0.0503,24,0,T,,2,1,8,1,1,0.14,0
6,5,12,12,0,5,100,12,5,50,00,63,0,40,0,O,+,21,10,2,2,0.058,0.0383,24,0,T,,1.12,1,8,1,1,0.14,0
7,4,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.044,0.0283,24,0,T,,0.8,1,8,1,1,0.14,0
8,3,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.034,0.0223,24,0,T,,0.7,1,8,1,1,0.14,0
9,802,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,15,3,2,0.017,0.0217,24,6.2,Z,503,0.63,1,8,1,1,0.14,0
10,802,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,30,3,2,0.025,0.0116,24,6.2,Z,253,0.63,1,8,1,1,0.14,0
11,801,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.009,0.019,24,7,Z,543,0.14,1,8,1,1,0.14,0
12,801,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.017,0.006,24,7,Z,316,0.14,1,8,1,1,0.14,0
1,9,230,40,0,85,50,20,6,80,03,22,0,0,11,0,+,21,10,2,2,0.283,0.5,24,0,T,,0,1,8,1,1,0.32,0
2,8,140,40,0,53,60,20,6,80,03,32,0,40,0,0,+,21,15,2,2,0.157,0.1287,24,0,T,,0,1,8,1,1,0.32,0
3,7,70,25,0,33,60,20,6,80,03,42,0,40,0,0,+,21,15,2,2,0.114,0.0901,24,0,T,,0,1,8,1,1,0.32,0
4,6,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.098,0.0669,24,0,T,,4,1,8,1,1,0.32,0
5,5,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.074,0.049,24,0,T,,2,1,8,1,1,0.32,0
6,4,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.056,0.037,24,0,T,,1.12,1,8,1,1,0.32,0
7,3,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.042,0.027,24,0,T,,0.8,1,8,1,1,0.32,0
8,2,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.032,0.021,24,0,T,,0.7,1,8,1,1,0.32,0
9,801,1,9,0,10,95,8,9,25,00,73,0,40,0,1,-,22,30,3,5,0.004,0.022,24,7,Z,543,0.32,1,8,1,1,0.32,0
10,801,1,9,0,10,95,8,9,25,00,73,0,40,0,1,-,22,30,3,5,0.024,0.007,24,7,Z,316,0.32,1,8,1,1,0.32,0
1,9,230,40,0,85,50,20,6,80,03,22,0,0,11,0,+,21,10,2,2,0.283,0.5,24,0,T,,0,1,8,1,1,0.5,0
2,8,140,40,0,53,60,20,6,80,03,32,0,40,0,0,+,21,15,2,2,0.157,0.1287,24,0,T,,0,1,8,1,1,0.5,0
3,7,70,25,0,33,60,20,6,80,03,42,0,40,0,0,+,21,15,2,2,0.114,0.0901,24,0,T,,0,1,8,1,1,0.5,0
4,6,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.098,0.0669,24,0,T,,4,1,8,1,1,0.5,0
5,5,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.074,0.049,24,0,T,,2,1,8,1,1,0.5,0
6,4,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.056,0.037,24,0,T,,1.12,1,8,1,1,0.5,0
7,3,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.042,0.027,24,0,T,,0.8,1,8,1,1,0.5,0
8,2,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.032,0.021,24,0,T,,0.7,1,8,1,1,0.5,0
9,801,1,9,0,20,95,14,9,50,00,73,0,40,0,2,-,22,30,3,5,0.009,0.024,24,6,Z,454,0.5,1,8,1,1,0.5,0
10,801,1,9,0,20,95,14,9,50,00,73,0,40,0,2,-,22,30,3,5,0.029,0.009,24,6,Z,248,0.5,1,8,1,1,0.5,0
1,9,230,40,0,85,50,20,6,80,03,22,0,0,11,0,+,21,10,2,2,0.283,0.5,24,0,T,,0,1,8,1,1,0.63,0
2,8,140,40,0,53,60,20,6,80,03,32,0,40,0,0,+,21,15,2,2,0.157,0.1287,24,0,T,,0,1,8,1,1,0.63,0
3,7,70,25,0,33,60,20,6,80,03,42,0,40,0,0,+,21,15,2,2,0.114,0.0901,24,0,T,,0,1,8,1,1,0.63,0
4,6,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.098,0.0669,24,0,T,,4,1,8,1,1,0.63,0
5,5,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.074,0.049,24,0,T,,2,1,8,1,1,0.63,0
6,4,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.056,0.037,24,0,T,,1.12,1,8,1,1,0.63,0
7,3,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.042,0.027,24,0,T,,0.8,1,8,1,1,0.63,0
8,2,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.032,0.021,24,0,T,,0.7,1,8,1,1,0.63,0
9,801,1,9,0,20,95,14,9,50,00,73,0,0,0,3,-,22,30,3,5,0.015,0.032,24,5,Z,405,0.63,1,8,1,1,0.63,0
10,801,1,9,0,20,95,14,9,50,00,73,0,0,0,3,-,22,30,3,5,0.035,0.017,24,5,Z,220,0.63,1,8,1,1,0.63,0
1,8,230,40,0,85,50,20,6,80,03,22,0,0,11,0,+,21,10,2,2,0.279,0.5,24,0,T,,0,1,8,1,1,0.8,0
2,7,140,40,0,53,60,20,6,80,03,32,0,40,0,0,+,21,15,2,2,0.153,0.1255,24,0,T,,0,1,8,1,1,0.8,0
3,6,70,25,0,33,60,20,6,80,03,42,0,40,0,0,+,21,15,2,2,0.11,0.0869,24,0,T,,0,1,8,1,1,0.8,0
4,5,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.094,0.0642,24,0,T,,4,1,8,1,1,0.8,0
5,4,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.07,0.0463,24,0,T,,2,1,8,1,1,0.8,0
6,3,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.052,0.0344,24,0,T,,1.12,1,8,1,1,0.8,0
7,2,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.038,0.0245,24,0,T,,0.8,1,8,1,1,0.8,0
8,1,7,9,0,5,95,12,6,50,00,63,0,0,0,0,+,22,15,2,2,0.022,0.017,24,0,T,,0.8,1,8,1,1,0.8,0
1,6,230,40,0,85,50,20,6,80,03,22,0,0,11,0,+,21,10,2,2,0.272,0.5,24,0,T,,0,1,8,1,1,1.12,0
2,5,140,40,0,53,60,20,6,80,03,32,0,40,0,0,+,21,15,2,2,0.146,0.1197,24,0,T,,0,1,8,1,1,1.12,0
3,4,70,25,0,33,60,20,6,80,03,42,0,40,0,0,+,21,15,2,2,0.103,0.0814,24,0,T,,0,1,8,1,1,1.12,0
4,3,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.087,0.0594,24,0,T,,4,1,8,1,1,1.12,0
5,2,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.063,0.0417,24,0,T,,2,1,8,1,1,1.12,0
